GeneID	GeneName
395964	CTNNB1
1500	CTNND1
1500	CTNND1
1514	CTSL
1514	CTSL
1514	CTSL
8452	CUL3
8451	CUL4A
8451	CUL4A
99375	Cul4a
1523	CUX1
1523	CUX1
6376	CX3CL1
6387	CXCL12
6387	CXCL12
6387	CXCL12
6387	CXCL12
6387	CXCL12
10563	CXCL13
9547	CXCL14
6374	CXCL5
3576	CXCL8
3576	CXCL8
3576	CXCL8
3576	CXCL8
3576	CXCL8
3576	CXCL8
3576	CXCL8
4283	CXCL9
3579	CXCR2
7852	CXCR4
7852	CXCR4
7852	CXCR4
7852	CXCR4
7852	CXCR4
7852	CXCR4
7852	CXCR4
7852	CXCR4
12767	Cxcr4
51706	CYB5R1
1545	CYP1B1
1577	CYP3A5
199974	CYP4Z1
9420	CYP7B1
3491	CYR61
3491	CYR61
3491	CYR61
112597	CYTOR
112597	CYTOR
69601	Dab2ip
69601	Dab2ip
153090	DAB2IP
153090	DAB2IP
13175	Dclk1
780	DDR1
4921	DDR2
4921	DDR2
23405	DICER1
22943	DKK1
22943	DKK1
22943	DKK1
27122	DKK3
1746	DLX2
1746	DLX2
1746	DLX2
1786	DNMT1
1786	DNMT1
1786	DNMT1
13433	Dnmt1
1789	DNMT3B
419287	DNMT3B
1856	DVL2
8445	DYRK2
1869	E2F1
1871	E2F3
10969	EBNA1BP2
17494242	EBNA3C
24323	Edn1
8726	EED
1936	EEF1D
1936	EEF1D
2202	EFEMP1
2202	EFEMP1
1948	EFNB2
1950	EGF
1950	EGF
1950	EGF
1950	EGF
1950	EGF
1950	EGF
1950	EGF
1950	EGF
1950	EGF
51162	EGFL7
51162	EGFL7
353156	Egfl7
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
1956	EGFR
13649	Egfr
112399	EGLN3
1958	EGR1
10938	EHD1
30846	EHD2
10919	EHMT2
9451	EIF2AK3
1965	EIF2S1
1977	EIF4E
1981	EIF4G1
1984	EIF5A
56648	EIF5A2
